,Unnamed: 0,Preço,Localização,Área Terreno (m2),Quartos,Casas de Banho,Área Útil (m2),Estacionamento,Certificado Energético,Piso,Elevador,Frações,Pisos,Área Bruta Construção (m2),Área Habitação (m2),Área Implantação (m2),Viabilidade Construção,Vedado
218,218,35.000,"Tamanhos, Guarda",80,2,1,60,,,,,,,,,,,
219,219,225.000,"Moscavide, Loures",,2,1,62,,,4,,,,,,,,
220,220,460.000,"Brufe, Braga",1423,4,3,154,4,,,,,,,,,,
221,221,450.000,"Alvalade / Campo Grande, Lisboa",,2,1,89,,,1,,,,,,,,
222,222,365.000,"Leiria, Leiria",2642,4,2,352,2,,,,,,,,,,
223,223,259.000,"Moscavide, Loures",,3,1,74,,,0,,,,,,,,
224,224,325.000,"Vila Nova de Gaia, Porto",398,3,5,,2,,,,,,,,,,
225,225,210.000,"Corroios, Seixal",300,3,1,155,1,,1,,,,,,,,
226,226,Sob Consulta,"Cacém e São Marcos, Lisboa",,2,1,80,,,5,,,,,,,,
227,227,126.000,"Setúbal (São Sebastião), Setúbal",,3,2,82,,,,,,,,,,,
228,228,185.000,"Cascais e Estoril, Lisboa",,0,1,36,,,8,,,,,,,,
229,229,160.000,"Alverca, Vila Franca de Xira",,3,2,,,,3,,,,,,,,
230,230,135.000,"Alverca, Vila Franca de Xira",,2,1,,,,0,,,,,,,,
231,231,980.000,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Lisboa",579,4,4,240,2,,,,,,,,,,
232,232,169.000,"Milheirós de Poiares, Aveiro",,3,2,157,1,,3,,,,,,,,
233,233,28.500,"Arega, Leiria",1400,3,1,79,1,,,,,,,,,,
234,234,330.000,"Nossa Senhora da Piedade, Santarém",2200,5,3,220,5,,,,,,,,,,
235,235,68.000,"Secorio, Santarém",52,2,1,52,1,,0,,,,,,,,
236,236,219.000,"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",,3,1,86,,,3,,,,,,,,
237,237,92.500,"Vale da Amoreira, Moita",,3,2,85,,,5,,,,,,,,
238,238,219.000,"Gondemaria e Olival, Santarém",2732,3,3,381,4,,,,,,,,,,
239,239,385.000,"Foz Velha, Porto",3,1,1,72,0,,,,,,,,,,
240,240,152.500,"Arca d´ Água, Porto",,1,1,46,,,3,,,,,,,,
241,241,160.000,"Benavente, Santarém",94,4,,64,0,,,,,,,,,,
242,242,215.000,"Mina de Água, Lisboa",,2,1,70,0,,3,,,,,,,,
243,243,173.000,"Monte Fino, Vila Real de Santo António",,2,1,48,,,,,,,,,,,
244,244,160.000,"Campanhã, Porto",15,1,1,45,,,,,,,,,,,
245,245,160.000,"Campanhã, Porto",15,1,1,45,,,,,,,,,,,
246,246,295.000,"Mafra, Mafra, Mafra",,3,2,108,1,,2,,,,,,,,
247,247,37.500,"Fiães, Guarda",179,3,1,,1,,,,,,,,,,
248,248,81.000,"Centro, Guarda",,2,1,,,,4,,,,,,,,
249,249,259.900,"Maia, Maia",,3,2,,,,3,,,,,,,,
250,250,230.000,"Centro, Lagos",,1,1,42,0,,3,,,,,,,,
251,251,279.900,"Maia, Maia",,3,2,,,,3,,,,,,,,
252,252,255.900,"Maia, Maia",,3,2,,,,2,,,,,,,,
253,253,275.900,"Maia, Maia",,3,2,,,,2,,,,,,,,
254,254,252.900,"Maia, Maia",,3,2,,,,1,,,,,,,,
255,255,252.900,"Maia, Maia",,3,2,,,,1,,,,,,,,
256,256,272.900,"Maia, Maia",,3,2,,,,1,,,,,,,,
257,257,269.900,"Maia, Maia",,3,2,,,,0,,,,,,,,
258,258,269.900,"Maia, Maia",,3,2,,,,0,,,,,,,,
259,259,269.900,"Maia, Maia",,3,2,,,,0,,,,,,,,
260,260,199.000,"Alverca, Vila Franca de Xira",,2,1,52,,,2,,,,,,,,
261,261,Sob Consulta,"Benfica, Lisboa",,3,,78,,,5,,,,,,,,
262,262,Sob Consulta,"Mina de Água, Lisboa",,,,,,,,,,,,,,,
263,263,320.000,"Monte Gordo, Vila Real de Santo António",,2,2,51,0,,,,,,,,,,
264,264,370.000,"A dos Cunhados e Maceira, Lisboa",278,4,3,183,1,,2,,,,,,,,
265,265,189.500,"Patameiras, Odivelas",,2,1,,,,0,,,,,,,,
266,266,215.000,"Centro, Guarda",,3,3,149,,,1,,,,,,,,
267,267,150.000,"Salvaterra de Magos e Foros de Salvaterra, Santarém",231,2,1,85,,,,,,,,,,,
268,268,225.000,"Feitosa, Ponte de Lima",,3,2,101,1,,1,,,,,,,,
269,269,340.000,"Moreira, Porto",,2,2,80,1,,3,,,,,,,,
270,270,550.000,"Portimão, Faro",,2,2,110,2,,2,,,,,,,,
271,271,120.000,"Cedrim e Paradela, Aveiro",346,3,2,192,1,,,,,,,,,,
272,272,53.500,"Seia, São Romão e Lapa dos Dinheiros, Guarda",,1,1,41,,,3,,,,,,,,
273,273,95.000,"Santo António, Ilha da Madeira",3439,2,2,89,,,,,,,,,,,
274,274,65.000,"Campanhã, Porto",88,1,1,46,,,,,,,,,,,
275,275,60.000,"Baixa da Banheira e Vale da Amoreira, Setúbal",86,1,1,32,,,,,,,,,,,
276,276,290.000,"Salvaterra de Magos e Foros de Salvaterra, Santarém",,4,2,148,,,,,,,,,,,
277,277,285.000,"Salvaterra de Magos e Foros de Salvaterra, Santarém",,4,2,162,,,,,,,,,,,
278,278,185.000,"Buarcos, Figueira da Foz",270,3,2,80,,,0,,,,,,,,
279,279,289.000,"Rio Tinto - Cidade Jovem, Gondomar",,3,2,140,2,,6,,,,,,,,
280,280,265.000,"Salvaterra de Magos e Foros de Salvaterra, Santarém",,3,2,121,,,,,,,,,,,
281,281,160.000,"Calheta, Ilha da Madeira",189,3,2,,1,,,,,,,,,,
282,282,255.000,"Salvaterra de Magos e Foros de Salvaterra, Santarém",,3,3,137,,,,,,,,,,,
283,283,230.000,"Repeses e São Salvador, Viseu",,2,2,119,1,,0,,,,,,,,
284,284,255.000,"Repeses e São Salvador, Viseu",,2,2,114,1,,3,,,,,,,,
285,285,299.000,"Carnaxide e Queijas, Lisboa",,3,2,114,,,1,,,,,,,,
286,286,182.000,"São Brás de Alportel, Faro",,3,2,98,0,,3,,,,,,,,
287,287,245.000,"Salvaterra de Magos e Foros de Salvaterra, Santarém",,3,2,107,,,,,,,,,,,
288,288,235.000,"Repeses e São Salvador, Viseu",,2,2,114,1,,1,,,,,,,,
289,289,280.000,"Repeses e São Salvador, Viseu",,3,2,130,2,,1,,,,,,,,
290,290,230.000,"Salvaterra de Magos e Foros de Salvaterra, Santarém",,2,2,103,,,,,,,,,,,
291,291,180.000,"Vale Marinhas, Rio Maior",475,3,2,130,4,,,,,,,,,,
292,292,245.000,"Repeses e São Salvador, Viseu",,2,2,114,1,,2,,,,,,,,
293,293,320.000,"Martim, Braga",1510,4,3,390,4,,,,,,,,,,
294,294,3.450.000,"Herdade da Aroeira, Almada",1297,5,6,390,3,,,,,,,,,,
295,295,,"Portimão, Portimão",,1-2,2-3,76-128,1-3,,5,,51,9,,,,,
296,296,209.900,"Matosinhos, Matosinhos",,2,1,,1,,2,,,,,,,,
297,297,194.500,"Coimbrão, Leiria",,2,1,68,1,,3,,,,,,,,
298,298,159.900,"Matosinhos, Matosinhos",,1,1,,1,,2,,,,,,,,
299,299,110.000,"Alhos Vedros, Setúbal",,2,1,67,,,3,,,,,,,,
300,300,209.900,"Matosinhos, Matosinhos",,2,1,,1,,2,,,,,,,,
301,301,119.900,"Matosinhos, Matosinhos",,1,1,,1,,0,,,,,,,,
302,302,215.900,"Matosinhos, Matosinhos",,2,1,,1,,2,,,,,,,,
303,303,195.900,"Matosinhos, Matosinhos",,2,1,,1,,1,,,,,,,,
